metro,year,width,height,strict_white_cloud_pct,diffuse_cloud_pct,dark_border_pct,mean_brightness,core_diffuse_cloud_pct,core_dark_or_empty_pct
san_antonio,2019,1024,512,0.00,2.28,0.00,0.2179,0.01,0.00
san_antonio,2020,1024,512,0.00,0.04,0.00,0.1819,0.00,0.00
san_antonio,2021,1024,512,0.02,3.38,0.00,0.2846,0.21,0.00
san_antonio,2022,1024,512,0.00,0.08,0.00,0.2217,0.02,0.00
san_antonio,2023,1024,512,0.01,0.56,0.00,0.1906,0.10,0.00
tampa,2013,512,512,0.01,1.16,0.00,0.1501,1.19,0.00
tampa,2014,512,512,0.00,0.24,0.00,0.1730,0.13,0.00
tampa,2015,512,512,0.02,0.81,0.00,0.1501,0.41,0.00
tampa,2016,512,512,0.07,4.07,0.00,0.1865,0.58,0.00
tampa,2017,512,512,0.09,1.71,0.00,0.1552,0.30,0.00
tampa,2018,512,512,0.02,2.06,0.00,0.1861,0.60,0.00
tampa,2019,512,512,0.01,1.79,0.00,0.2121,1.85,0.00
tampa,2020,512,512,0.01,1.67,0.00,0.1969,0.27,0.00
tampa,2021,512,512,0.05,2.18,0.00,0.1931,1.88,0.00
tampa,2022,512,512,0.00,3.63,3.72,0.2320,1.51,0.00
tampa,2023,512,512,0.05,2.76,0.00,0.1739,2.19,0.00
