year,metro,gdp_millions,unemployment_rate,employment_thousands,total_permits,interpolated,modis_red_mean,modis_red_std,modis_green_mean,modis_green_std,modis_blue_mean,modis_blue_std,modis_brightness_mean,modis_brightness_std,modis_ndvi_proxy_mean,modis_dark_frac,viirs_available,viirs_mean,viirs_std,viirs_median,viirs_p90,viirs_max,viirs_lit_frac,viirs_bright_frac,viirs_gini,modis_brightness_mean_delta,modis_ndvi_proxy_mean_delta,modis_dark_frac_delta,viirs_mean_delta,viirs_lit_frac_delta,viirs_bright_frac_delta,modis_brightness_mean_growth,viirs_mean_growth,viirs_mean_lag1,viirs_lit_frac_lag1,modis_brightness_mean_lag1,gdp_millions_growth,employment_thousands_growth,total_permits_growth,gdp_millions_lag1,employment_thousands_lag1,unemployment_rate_lag1,total_permits_lag1,gdp_per_employee,permits_per_1k_emp,split
2019,denver,222491.6,2.5,1631.9,19308,False,0.1980469673871994,0.1521151065826416,0.2231837809085846,0.15144263207912445,0.21194155514240265,0.14938512444496155,0.21105742454528809,0.1501827836036682,0.08257269859313965,0.5001373291015625,True,0.3453221321105957,0.1612883359193802,0.30631187558174133,0.5,1.0,0.9999465942382812,0.09990310668945312,0.22050427683954887,-0.21199968457221985,0.05955493450164795,0.4545135498046875,0.02104288339614868,0.191253662109375,-0.09580612182617188,-50.1113632186559,6.489124259282653,0.324279248714447,0.8086929321289062,0.42305710911750793,5.3521380188788825,2.153364632237875,-11.141792075107004,211188.5,1597.5,2.9,21729.0,136.3389913597647,11.831607328880445,val
2021,denver,239008.3,5.5,1617.4,30006,False,0.1745014190673828,0.17051762342453003,0.19808337092399597,0.17079195380210876,0.22288641333580017,0.15810297429561615,0.19849038124084473,0.16581308841705322,0.09857622534036636,0.5806427001953125,True,0.18311573565006256,0.1341841071844101,0.13985148072242737,0.32085397839546204,1.0,0.8329124450683594,0.032405853271484375,0.3128277506405923,-0.10127583146095276,0.0532807819545269,0.49527740478515625,0.08671557903289795,0.5465812683105469,0.000499725341796875,-33.78493878551293,89.95377401436475,0.09640015661716461,0.2863311767578125,0.2997662127017975,7.423516213645809,-0.888534836693422,55.40708514605346,222491.6,1631.9,2.5,19308.0,147.7731544454062,18.55199703227402,test
2022,denver,252123.7,3.0,1686.7,23009,False,0.24072660505771637,0.2031208872795105,0.26397988200187683,0.2031552642583847,0.27101364731788635,0.18802815675735474,0.25857338309288025,0.1975051760673523,0.09344075620174408,0.4391975402832031,True,0.6718396544456482,0.17655795812606812,0.6785272359848022,0.8876856565475464,1.0,0.9897384643554688,0.8890266418457031,0.14106417301846763,0.06008300185203552,-0.005135469138622284,-0.14144515991210938,0.48872391879558563,0.15682601928710938,0.8566207885742188,30.269981586227026,266.89345787821634,0.18311573565006256,0.8329124450683594,0.19849038124084473,5.487424495299975,4.28465438357859,-23.318669599413454,239008.3,1617.4,5.5,30006.0,149.47750044465525,13.6414300112646,test
2023,denver,261705.4,3.2,1704.7,20650,False,0.14291170239448547,0.14122000336647034,0.1688406765460968,0.14591427147388458,0.17648743093013763,0.11715985089540482,0.1627466231584549,0.13297225534915924,0.13105270266532898,0.6525917053222656,True,0.31603214144706726,0.25643667578697205,0.2620668411254883,0.7233911156654358,1.0,0.7469978332519531,0.2223663330078125,0.44843291451303324,-0.09582675993442535,0.0376119464635849,0.2133941650390625,-0.35580751299858093,-0.24274063110351562,-0.6666603088378906,-37.05979277070607,-52.96018337770887,0.6718396544456482,0.9897384643554688,0.25857338309288025,3.8003963927230933,1.0671725855220249,-10.252509887435346,252123.7,1686.7,3.0,23009.0,153.5199155276588,12.113568369801138,test
2013,detroit,241776.8,9.7,1853.2,6352,False,0.2411513775587082,0.29358890652656555,0.24228332936763763,0.29194265604019165,0.23366525769233704,0.2798686921596527,0.23903332650661469,0.28831011056900024,0.0003770802868530154,0.5595664978027344,False,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,130.4644938484783,3.4275847183250594,train
2014,detroit,245151.1,8.1,1872.6,6295,False,0.3621193766593933,0.1980634480714798,0.3737777769565582,0.1905847042798996,0.38703396916389465,0.18287725746631622,0.37431034445762634,0.19034527242183685,0.02663801982998848,0.054351806640625,False,0.0,0.0,0.0,0.0,0.0,,,,0.13527701795101166,0.026260939543135464,-0.5052146911621094,0.0,,,56.59337127924218,,0.0,,0.23903332650661469,1.395626048487708,1.0468379020073248,-0.8973551637279642,241776.8,1853.2,9.7,6352.0,130.91482430844815,3.3616362277047958,train
2015,detroit,249284.3,5.9,1912.0,7304,False,0.40750840306282043,0.2927270531654358,0.42410174012184143,0.2835405170917511,0.45881354808807373,0.2548200786113739,0.43014127016067505,0.27688297629356384,0.056591298431158066,0.2541351318359375,False,0.0,0.0,0.0,0.0,0.0,,,,0.055830925703048706,0.029953278601169586,0.1997833251953125,0.0,,,14.915678000817056,,0.0,,0.37431034445762634,1.6859806054306814,2.1040264872369985,16.028594122319294,245151.1,1872.6,8.1,6295.0,130.3788179916318,3.8200836820083683,train
2016,detroit,253977.7,5.3,1994.1,7659,False,0.37532684206962585,0.2013481855392456,0.38931727409362793,0.19517111778259277,0.4127062261104584,0.17674759030342102,0.39245009422302246,0.1908736377954483,0.02944335713982582,0.04291534423828125,False,0.0,0.0,0.0,0.0,0.0,,,,-0.03769117593765259,-0.027147941291332245,-0.21121978759765625,0.0,,,-8.762510959149171,,0.0,,0.43014127016067505,1.8827499365182687,4.293933054393295,4.860350492880605,249284.3,1912.0,5.9,7304.0,127.36457549771828,3.84083044982699,train
2017,detroit,256207.3,4.5,2048.2,10089,False,0.41882723569869995,0.25969818234443665,0.43577784299850464,0.2472655475139618,0.4757671654224396,0.21654930710792542,0.4434574544429779,0.24094896018505096,0.052006617188453674,0.10386276245117188,True,0.13091237843036652,0.06219872459769249,0.12128712981939316,0.1955445557832718,1.0,0.6687889099121094,0.003055572509765625,0.22725971849921134,0.051007360219955444,0.022563260048627853,0.060947418212890625,0.13091237843036652,,,12.997158357406047,inf,0.0,,0.39245009422302246,0.8778723486353224,2.7130033599117365,31.727379553466516,253977.7,1994.1,5.3,7659.0,125.08900497998243,4.925788497217069,train
2018,detroit,261547.7,4.3,2072.9,7163,False,0.5148298144340515,0.11116532236337662,0.510129988193512,0.10739253461360931,0.46474137902259827,0.10035306215286255,0.49656710028648376,0.10602826625108719,-0.004670284688472748,0.0249786376953125,True,0.15576650202274323,0.04801170900464058,0.14511138200759888,0.20730197429656982,0.9885519742965698,0.996826171875,0.0007171630859375,0.1483112411324854,0.05310964584350586,-0.05667690187692642,-0.07888412475585938,0.02485412359237671,0.3280372619628906,-0.002338409423828125,11.976266338834307,18.985312076960568,0.13091237843036652,0.6687889099121094,0.4434574544429779,2.0844058697781165,1.2059369202226389,-29.001883239171377,256207.3,2048.2,4.5,10089.0,126.1747792947079,3.455545371219065,train
