model,cv_mae,val_mae,test_mae
cosine|joint|k=3|inverse,1.3614047867493608,1.1764632029940414,2.4507104596494473
euclidean|image|k=3|inverse,1.3752448193831845,1.4342957568424977,2.729748416664015
euclidean|joint|k=2|softmax@0.2,1.3782089361843006,1.1185796812900133,2.3685149407240007
euclidean|joint|k=2|inverse,1.3785929541474842,1.1267953224744844,2.37134846978531
euclidean|joint|k=2|softmax@0.5,1.3793563343005122,1.1175335813874758,2.367713800114056
euclidean|joint|k=2|softmax@0.1,1.3793873591288037,1.1203255517334978,2.369848256288128
euclidean|joint|k=2|softmax@1.0,1.3797393007667083,1.1171849939079588,2.367446662782046
cosine|joint|k=3|inverse_sq,1.379760521126963,1.1897482861550805,2.437837665246414
euclidean|joint|k=2|uniform,1.3801223612081646,1.1168364275642844,2.367179508480495
euclidean|joint|k=2|softmax@0.05,1.3837429883496386,1.1238349880198255,2.3725001825979484
cosine|image|k=3|uniform,1.3843041539115764,1.4461629859098635,2.7800338862281566
cosine|image|k=3|softmax@1.0,1.3843331477621665,1.446104026016452,2.7800053305305936
cosine|image|k=3|softmax@0.5,1.384362123970279,1.4460450192896217,2.77997666499086
cosine|image|k=3|softmax@0.2,1.3844489393435635,1.4458677251078034,2.7798900119440493
cosine|image|k=3|softmax@0.1,1.3845932105497347,1.4455713634720628,2.7797434180989584
cosine|image|k=3|softmax@0.05,1.3848798586908517,1.4449756876714288,2.7794422083238373
euclidean|joint|k=2|inverse_sq,1.3878782163963852,1.1365635342811462,2.375458458022029
euclidean|image|k=3|inverse_sq,1.3922648085734561,1.4513280813726088,2.7102478869517803
cosine|image|k=3|inverse,1.4108582797569234,1.4606465879047574,2.754568869144946
cosine|image|k=3|inverse_sq,1.4182391493251287,1.4697379405301871,2.724201631223221
cosine|joint|k=2|inverse_sq,1.43132837806694,1.189768420755522,2.417675999413768
cosine|joint|k=2|inverse,1.4326009829624262,1.1792172659355138,2.417580768384408
cosine|joint|k=2|softmax@0.05,1.4422713965762048,1.165867328898661,2.420278394772896
cosine|joint|k=2|softmax@0.1,1.444324785443494,1.1664763981476747,2.420496920949267
cosine|joint|k=2|softmax@0.2,1.4453477523155032,1.1667837132141907,2.420606270388017
cosine|joint|k=2|softmax@0.5,1.4459609324034106,1.1669685362081414,2.420671893482093
cosine|joint|k=2|softmax@1.0,1.4461652782962133,1.1670301779433472,2.420693768900368
cosine|joint|k=2|uniform,1.4463696152689487,1.1670918260684426,2.4207156445161973
cosine|joint|k=1|uniform,1.4739384949801473,1.2974309634385581,2.4278143645199677
euclidean|joint|k=1|uniform,1.4824071235493947,1.2149857108682143,2.494710656655773
cosine|image|k=2|softmax@0.05,1.521733253480523,1.5436266393100917,2.835908803587311
cosine|image|k=2|softmax@0.1,1.5220243207819915,1.5445265358121831,2.837068276855215
cosine|image|k=2|softmax@0.2,1.522169920056526,1.5449768069820708,2.837648138195667
cosine|image|k=2|softmax@0.5,1.5222572898289852,1.5452470199109956,2.837996074390728
cosine|image|k=2|softmax@1.0,1.522286413887232,1.5453370948273788,2.8381120546434135
cosine|image|k=2|uniform,1.5223155380956295,1.5454271704825593,2.838228035181293
cosine|image|k=2|inverse_sq,1.522689357871202,1.5241829484780764,2.7196011998122422
cosine|image|k=2|inverse,1.526788765886572,1.5334582503443481,2.7595064028318013
euclidean|image|k=1|uniform,1.5520540103791471,1.6987068633078883,2.4846418097483514
euclidean|image|k=2|softmax@0.05,1.5650868175525645,1.451225518235438,2.7782191001437018
euclidean|image|k=2|softmax@0.1,1.566359268327371,1.4489345688526976,2.787041657749555
euclidean|image|k=2|softmax@0.2,1.5669927138241346,1.4477873168896829,2.7914722688888465
euclidean|image|k=2|softmax@0.5,1.5673723332497478,1.4470986890808732,2.7941336758243907
euclidean|image|k=2|inverse_sq,1.5674330438806827,1.4657482078675694,2.704138467544722
euclidean|image|k=2|softmax@1.0,1.567498837619235,1.4468691247737633,2.795021050617959
euclidean|image|k=2|uniform,1.56762533532903,1.4466395563967587,2.795908470285073
euclidean|image|k=2|inverse,1.5698840283717175,1.456281700508117,2.7475369907764886
cosine|image|k=1|uniform,1.651758245349507,1.6167647289253892,2.4689377203574168
