model,val_mae,test_mae
ret_scaled_euc_k8*0.55+mean*0.45,0.9651820814505422,2.5123940059681535
ret_scaled_man_k3*0.85+ridge*0.15,0.9653395647576389,2.4339264201568773
ret_scaled_man_k3*0.85+mean*0.15,0.9654381521623144,2.4262020967999636
ret_scaled_euc_k8*0.10+mean*0.90,0.9691069360297282,2.6116940679152423
ret_scaled_euc_k8*0.60+mean*0.40,0.9708787790759041,2.5022062640781377
ret_scaled_euc_k8*0.75+ridge*0.25,0.9722351539257961,2.4845169106696146
ret_scaled_euc_k8*0.05+mean*0.95,0.9734727183110703,2.6230302388932665
ret_scaled_man_k3*0.90+ridge*0.10,0.9762047485767231,2.419689465118787
ret_scaled_man_k3*0.90+mean*0.10,0.9762704735131733,2.416138208639334
ret_scaled_euc_k8*0.65+mean*0.35,0.9765754767012658,2.492018522188122
ret_scaled_euc_k8*0.00+mean*1.00,0.9778385005924122,2.6343664098712893
ret_scaled_man_k3*0.00+mean*1.00,0.9778385005924122,2.6343664098712893
mean,0.9778385005924122,2.6343664098712893
ret_scaled_euc_k8*0.80+ridge*0.20,0.9818662572113404,2.4717543943272937
ret_scaled_euc_k8*0.70+mean*0.30,0.9822721743266276,2.481830780298106
ret_scaled_man_k3*0.95+ridge*0.05,0.9870699323958075,2.4084746926787655
ret_scaled_man_k3*0.95+mean*0.05,0.9871027948640327,2.4078216762082296
ret_scaled_euc_k8*0.75+mean*0.25,0.9879688719519892,2.4716430384080903
ret_scaled_euc_k8*0.85+ridge*0.15,0.9914973604968846,2.4589918779849733
ret_scaled_euc_k8*0.80+mean*0.20,0.9936655695773509,2.4614552965180745
ret_scaled_man_k3*1.00+ridge*0.00,0.9979351162148918,2.4000025161723046
ret_scaled_man_k3,0.9979351162148918,2.4000025161723046
ret_scaled_man_k3*1.00+mean*0.00,0.9979351162148918,2.4000025161723046
ret_scaled_euc_k8*0.85+mean*0.15,0.9993622672027124,2.4512675546280582
ret_scaled_euc_k8*0.90+ridge*0.10,1.0017864544226849,2.446229361642653
ret_scaled_euc_k8*0.90+mean*0.10,1.0075297680114248,2.4410798127380424
ret_scaled_euc_k8*0.95+ridge*0.05,1.0142005231104607,2.433466845300331
ret_scaled_euc_k8*0.95+mean*0.05,1.0170721799048306,2.4308920708480266
ret_scaled_euc_k8*1.00+ridge*0.00,1.0266145917982363,2.420704328958011
ret_scaled_euc_k8*1.00+mean*0.00,1.0266145917982363,2.420704328958011
ret_scaled_euc_k8,1.0266145917982363,2.420704328958011
