family,model,val_mae,test_mae
ft,scaled_euclidean|k=5|softmax@0.2,0.929998529989139,3.3291972027852355
ft,scaled_euclidean|k=5|softmax@0.5,0.9060061201125281,3.211399909466632
ft,scaled_euclidean|k=5|softmax@1.0,0.9065120409897504,3.0993415616111886
ft,scaled_euclidean|k=8|uniform,0.926832206972154,2.7859108224951825
ft,scaled_euclidean|k=8|inverse,0.9220922281152968,2.801516401620514
ft,scaled_euclidean|k=8|inverse_sq,0.9175241041940352,2.821499228823197
ft,scaled_euclidean|k=8|softmax@0.05,1.1116437141318372,3.3595799326146816
ft,scaled_euclidean|k=8|softmax@0.1,1.0258064981699822,3.3621910562325446
ft,scaled_euclidean|k=8|softmax@0.2,0.9106055701783343,3.3277450083840914
ft,scaled_euclidean|k=8|softmax@0.5,0.8356314328758575,3.201533141235827
ft,scaled_euclidean|k=8|softmax@1.0,0.8129077936892127,3.0726480541121854
ft,scaled_manhattan|k=1|uniform,1.0923527454329107,3.1941428576591977
ft,scaled_manhattan|k=2|uniform,0.7627736182440479,3.0480134484040677
ft,scaled_manhattan|k=2|inverse,0.7605276950398361,3.0577702497801105
ft,scaled_manhattan|k=2|inverse_sq,0.7582848437238717,3.067080035892872
ft,scaled_manhattan|k=2|softmax@0.05,1.0919996637398752,3.149888322442584
ft,scaled_manhattan|k=2|softmax@0.1,1.0860522895049933,3.1459360845042568
ft,scaled_manhattan|k=2|softmax@0.2,1.062591264085351,3.1383551487852466
ft,scaled_manhattan|k=2|softmax@0.5,1.0219482020101187,3.1223915302481124
ft,scaled_manhattan|k=2|softmax@1.0,1.0083023928481059,3.114868181638227
ft,scaled_manhattan|k=3|uniform,0.819955791862918,2.9332516572430505
ft,scaled_manhattan|k=3|inverse,0.8137382451575822,2.951061110562288
ft,scaled_manhattan|k=3|inverse_sq,0.8074699224080246,2.968770063062801
ft,scaled_manhattan|k=3|softmax@0.05,1.0919984310363224,3.083990461640101
ft,scaled_manhattan|k=3|softmax@0.1,1.0854189074843754,3.08027553960266
ft,scaled_manhattan|k=3|softmax@0.2,1.049805646761629,3.0734571514776987
ft,scaled_manhattan|k=3|softmax@0.5,0.9722566653475272,3.0586971301600436
ft,scaled_manhattan|k=3|softmax@1.0,0.9463010355185061,3.0504601283847887
ft,scaled_manhattan|k=5|uniform,0.9313040124229904,2.8387373335431163
ft,scaled_manhattan|k=5|inverse,0.9224247601363962,2.8565241714244585
ft,scaled_manhattan|k=5|inverse_sq,0.9134373737439482,2.8770246431113504
ft,scaled_manhattan|k=5|softmax@0.05,1.0919984310363224,3.0839904616432214
ft,scaled_manhattan|k=5|softmax@0.1,1.0854189074843754,3.0802757592196506
ft,scaled_manhattan|k=5|softmax@0.2,1.0498056467616121,3.073470347282906
ft,scaled_manhattan|k=5|softmax@0.5,0.9722562913373601,3.0583745073530357
ft,scaled_manhattan|k=5|softmax@1.0,0.9462529805187422,3.0498487127067375
ft,scaled_manhattan|k=8|uniform,0.916209229713891,2.7808760451388737
ft,scaled_manhattan|k=8|inverse,0.9077858001116007,2.7950979203329247
ft,scaled_manhattan|k=8|inverse_sq,0.8991095230974951,2.813246826181767
ft,scaled_manhattan|k=8|softmax@0.05,1.0919984310363224,3.0839904616432214
ft,scaled_manhattan|k=8|softmax@0.1,1.0854189074843754,3.080275759219652
ft,scaled_manhattan|k=8|softmax@0.2,1.0498056467616121,3.0734703533359635
ft,scaled_manhattan|k=8|softmax@0.5,0.9722562913346177,3.058421620439573
ft,scaled_manhattan|k=8|softmax@1.0,0.9462530377270212,3.0509836973237894
ft,mahalanobis|k=1|uniform,1.8272115769997321,3.1900276230345233
ft,mahalanobis|k=2|uniform,1.5560767046525528,3.030599622905671
ft,mahalanobis|k=2|inverse,1.5561073937966914,3.030605979184252
ft,mahalanobis|k=2|inverse_sq,1.5561380829397906,3.030612335456675
ft,mahalanobis|k=2|softmax@0.05,1.697383460970746,3.03001338901854
ft,mahalanobis|k=2|softmax@0.1,1.6350255709327743,3.0298040896057072
ft,mahalanobis|k=2|softmax@0.2,1.596931143577486,3.0288101375140974
ft,mahalanobis|k=2|softmax@0.5,1.5725868659028717,3.029543342786661
ft,mahalanobis|k=2|softmax@1.0,1.5643440849268224,3.0300412231268576
ft,mahalanobis|k=3|uniform,1.3904655822951497,2.9445527181198257
ft,mahalanobis|k=3|inverse,1.3905030311805828,2.9445650862611217
ft,mahalanobis|k=3|inverse_sq,1.3905404801328098,2.9445774582434945
ft,mahalanobis|k=3|softmax@0.05,1.6063799186413892,2.9704483003613324
ft,mahalanobis|k=3|softmax@0.1,1.511725486322995,2.957888259521316
ft,mahalanobis|k=3|softmax@0.2,1.4533425354373577,2.9504617692478114
ft,mahalanobis|k=3|softmax@0.5,1.4159205745547918,2.947073003099708
ft,mahalanobis|k=3|softmax@1.0,1.4032212383504177,2.94586582216947
ft,mahalanobis|k=5|uniform,1.093788649241411,2.8385958715949395
ft,mahalanobis|k=5|inverse,1.0937795056613002,2.8386269448076833
ft,mahalanobis|k=5|inverse_sq,1.0937703590303183,2.838658037296602
ft,mahalanobis|k=5|softmax@0.05,1.14705977500904,2.896639895938032
ft,mahalanobis|k=5|softmax@0.1,1.1013254029231516,2.8751256937935463
ft,mahalanobis|k=5|softmax@0.2,1.0944676043884336,2.8567126571550663
ft,mahalanobis|k=5|softmax@0.5,1.0903461074926648,2.8456762349182
ft,mahalanobis|k=5|softmax@1.0,1.09218176426836,2.842106998863172
ft,mahalanobis|k=8|uniform,1.0896120476552997,2.7996823328522353
ft,mahalanobis|k=8|inverse,1.0896019029712682,2.7997139515917553
ft,mahalanobis|k=8|inverse_sq,1.0895917561455886,2.799745613894249
ft,mahalanobis|k=8|softmax@0.05,1.0850200078772922,2.878348132308912
ft,mahalanobis|k=8|softmax@0.1,1.0742048290933819,2.852471553273926
ft,mahalanobis|k=8|softmax@0.2,1.0757359593088414,2.826325052670419
ft,mahalanobis|k=8|softmax@0.5,1.0845629204106888,2.8094418583255756
ft,mahalanobis|k=8|softmax@1.0,1.0871707684850536,2.804327033212228
frozen,cosine|k=1|uniform,1.3630088587024278,3.1638302692450755
frozen,cosine|k=2|uniform,1.1524697877664412,2.9317260713599618
frozen,cosine|k=2|inverse,1.1188506398186042,2.964853104563692
frozen,cosine|k=2|inverse_sq,1.1157541951831085,2.9920665869587735
frozen,cosine|k=2|softmax@0.05,1.134789421463137,2.953902568429497
frozen,cosine|k=2|softmax@0.1,1.1437780216111568,2.9430225602160376
frozen,cosine|k=2|softmax@0.2,1.1481435563740163,2.9374013655427587
frozen,cosine|k=2|softmax@0.5,1.1507415290064194,2.9339992495697054
frozen,cosine|k=2|softmax@1.0,1.1516058185351494,2.9328628796358394
frozen,cosine|k=3|uniform,0.985240720446909,2.799106047450143
frozen,cosine|k=3|inverse,0.9942885242813955,2.8429838851471323
frozen,cosine|k=3|inverse_sq,0.9987954916680871,2.888716649542526
frozen,cosine|k=3|softmax@0.05,1.0071181250676078,2.8290217775851807
frozen,cosine|k=3|softmax@0.1,0.9971326286212755,2.8138060855296496
frozen,cosine|k=3|softmax@0.2,0.9913971437532215,2.806350756951526
frozen,cosine|k=3|softmax@0.5,0.9877495623895818,2.8019740730826714
frozen,cosine|k=3|softmax@1.0,0.986502476669472,2.800534738190084
frozen,cosine|k=5|uniform,1.1077894484544866,2.84714624272124
frozen,cosine|k=5|inverse,1.061703604591083,2.862676751449741
frozen,cosine|k=5|inverse_sq,1.016116704041534,2.885573514617115
frozen,cosine|k=5|softmax@0.05,1.060005870796757,2.8558478327056385
frozen,cosine|k=5|softmax@0.1,1.0838324305722147,2.8507783535703046
