model,val_mae,test_mae
manhattan|k=2|softmax@0.02,1.1735774281436957,2.4959581093198935
manhattan|k=2|softmax@0.05,1.1317900245361574,2.483177551631582
manhattan|k=2|softmax@0.1,1.104212592488895,2.4771317926545864
manhattan|k=2|softmax@0.2,1.088096411419783,2.47368868722048
manhattan|k=2|softmax@0.5,1.0780028183379302,2.4715504463615665
manhattan|k=2|softmax@1.0,1.0746036371391958,2.4708318717085276
manhattan|k=3|uniform,1.093416301702016,2.3649870779584132
manhattan|k=3|inverse,1.1080499006152271,2.372737649331487
manhattan|k=3|inverse_sq,1.1240043424919766,2.384263779988855
manhattan|k=3|softmax@0.02,1.1572295643295707,2.4472174158859623
manhattan|k=3|softmax@0.05,1.124986254270359,2.406443584054252
manhattan|k=3|softmax@0.1,1.1071795526224057,2.385017513222696
manhattan|k=3|softmax@0.2,1.099444350437332,2.373280622962749
manhattan|k=3|softmax@0.5,1.0956151291167633,2.3683489888827722
manhattan|k=3|softmax@1.0,1.0944816838793459,2.3666726460781438
manhattan|k=5|uniform,1.1376184469277135,2.501650434684793
manhattan|k=5|inverse,1.1432269335554586,2.4855651619863752
manhattan|k=5|inverse_sq,1.1519959993424003,2.4732864113023245
manhattan|k=5|softmax@0.02,1.1856745913379503,2.4598158373347294
manhattan|k=5|softmax@0.05,1.1539216074349752,2.4565993471348437
manhattan|k=5|softmax@0.1,1.1420834866034906,2.4697818487760266
manhattan|k=5|softmax@0.2,1.1389275831587717,2.483325856174299
manhattan|k=5|softmax@0.5,1.1379605521036467,2.4938179878142064
manhattan|k=5|softmax@1.0,1.1377626880833103,2.4976606723460573
manhattan|k=8|uniform,1.0635066764664016,2.4526840396313556
manhattan|k=8|inverse,1.0791539320121837,2.444339306498153
manhattan|k=8|inverse_sq,1.0988574244754525,2.4369997602632494
manhattan|k=8|softmax@0.02,1.1791725651746765,2.4459394298322046
manhattan|k=8|softmax@0.05,1.1216470934375933,2.425007351971197
manhattan|k=8|softmax@0.1,1.0916606557884658,2.4310115012813216
manhattan|k=8|softmax@0.2,1.0767866611399806,2.4410770816959992
manhattan|k=8|softmax@0.5,1.0685077319589575,2.4481006892318797
manhattan|k=8|softmax@1.0,1.0659502326890145,2.4504201273339854
scaled_euclidean|k=1|uniform,1.3728327333639534,2.5819622467123287
scaled_euclidean|k=2|uniform,1.0308500653969297,2.5342275753961183
scaled_euclidean|k=2|inverse,1.0381314889573385,2.5367183883972824
scaled_euclidean|k=2|inverse_sq,1.045394486258534,2.53914759487975
scaled_euclidean|k=2|softmax@0.02,1.2493941579191354,2.5741207087229654
scaled_euclidean|k=2|softmax@0.05,1.2010111933759458,2.563544500433906
scaled_euclidean|k=2|softmax@0.1,1.1660718440529914,2.5544670532760345
scaled_euclidean|k=2|softmax@0.2,1.1141262098545452,2.5535586049118586
scaled_euclidean|k=2|softmax@0.5,1.0654989556225265,2.5458982567832997
scaled_euclidean|k=2|softmax@1.0,1.0481579734359783,2.540529994494261
scaled_euclidean|k=3|uniform,1.0743993081536762,2.453470885438454
scaled_euclidean|k=3|inverse,1.0742802684339856,2.461843039218126
scaled_euclidean|k=3|inverse_sq,1.0747936894335803,2.4736449048387548
scaled_euclidean|k=3|softmax@0.02,1.2432057193283905,2.5619135010961362
scaled_euclidean|k=3|softmax@0.05,1.1902136233839582,2.5508554221914164
scaled_euclidean|k=3|softmax@0.1,1.153209883377631,2.541519736549604
scaled_euclidean|k=3|softmax@0.2,1.1021446970941071,2.5359875152421827
scaled_euclidean|k=3|softmax@0.5,1.0755402497656958,2.5051396919005677
scaled_euclidean|k=3|softmax@1.0,1.0719408870303755,2.481208018625727
scaled_euclidean|k=5|uniform,1.0019045516954124,2.425559018262695
scaled_euclidean|k=5|inverse,1.0033242949916357,2.424955834360958
scaled_euclidean|k=5|inverse_sq,1.005032424721363,2.4270582142215273
scaled_euclidean|k=5|softmax@0.02,1.243075305652924,2.563197711252709
scaled_euclidean|k=5|softmax@0.05,1.1831408503035516,2.5514839836967704
scaled_euclidean|k=5|softmax@0.1,1.1287704009824366,2.528688952774789
scaled_euclidean|k=5|softmax@0.2,1.0676947527429603,2.499241606974662
scaled_euclidean|k=5|softmax@0.5,1.0141781502774356,2.4470519386963123
scaled_euclidean|k=5|softmax@1.0,1.0009687547745543,2.4277466133971353
scaled_euclidean|k=8|uniform,1.0266145917982363,2.420704328958011
scaled_euclidean|k=8|inverse,1.0179400490301922,2.419723088689722
scaled_euclidean|k=8|inverse_sq,1.0143318403093533,2.419871276971981
scaled_euclidean|k=8|softmax@0.02,1.2430753028736703,2.563197708867331
scaled_euclidean|k=8|softmax@0.05,1.1831100918767505,2.5514412765567362
scaled_euclidean|k=8|softmax@0.1,1.1285235441463592,2.5274816551177848
scaled_euclidean|k=8|softmax@0.2,1.0612138523010286,2.49274415021797
scaled_euclidean|k=8|softmax@0.5,1.014350961016872,2.4311461581534375
scaled_euclidean|k=8|softmax@1.0,1.0129635714940908,2.4128845316863483
scaled_manhattan|k=1|uniform,1.2558006913488804,2.595312874615225
scaled_manhattan|k=2|uniform,1.0367904733370579,2.546366304120649
scaled_manhattan|k=2|inverse,1.048978640292953,2.549071908879859
scaled_manhattan|k=2|inverse_sq,1.0599673181672016,2.551636869004917
scaled_manhattan|k=2|softmax@0.02,1.1969025756793503,2.5769012483167533
scaled_manhattan|k=2|softmax@0.05,1.189210911954856,2.5757355429015183
scaled_manhattan|k=2|softmax@0.1,1.1613810015780592,2.5606001347166494
scaled_manhattan|k=2|softmax@0.2,1.118780183885851,2.5506867250121386
scaled_manhattan|k=2|softmax@0.5,1.0871870422872676,2.5570582297421867
scaled_manhattan|k=2|softmax@1.0,1.0714567901757042,2.5604096673427215
scaled_manhattan|k=3|uniform,0.9979351162148918,2.4000025161723046
scaled_manhattan|k=3|inverse,1.0132482924431268,2.408841309466049
scaled_manhattan|k=3|inverse_sq,1.0293169388502856,2.4215636953103146
scaled_manhattan|k=3|softmax@0.02,1.198161127996381,2.5769005211161877
scaled_manhattan|k=3|softmax@0.05,1.1926700302903475,2.5754443728383567
scaled_manhattan|k=3|softmax@0.1,1.165860482294976,2.558695741145602
scaled_manhattan|k=3|softmax@0.2,1.1238331648785669,2.544618175633418
