metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
cleveland,2013,2.432591438293457,1.4280078411102295,0.1899588704109192,4.050558090209961,0.2566932,0.9148488,0.40610623,-0.4003701,0.5140492,0.05876288,-0.31367362,-0.37625188,-0.4562122,0.14639843,-0.048459187,-0.02203478,-0.37331647,0.8271875,0.57357675,0.79151195
cleveland,2014,0.7893022894859314,0.7911069989204407,0.1663101315498352,1.7467193603515625,0.47080094,0.49361727,0.15223739,-0.15755457,0.2908321,0.06562275,-0.2430935,0.2936603,-0.23631072,-0.12800547,0.2242443,-0.009084481,-0.060432103,0.021899767,0.23407695,0.34613425
cleveland,2015,0.3536317050457001,1.0001496076583862,0.3435894250869751,1.6973707675933838,0.17414674,0.29658422,0.10708303,-0.09683979,0.08308877,0.09338193,-0.13317034,0.113800816,-0.08302365,0.016168278,0.13479283,-0.028520677,-0.093588464,0.013739787,0.14802119,0.14591978
cleveland,2016,0.5044353604316711,0.4407614469528198,0.3299334943294525,1.275130271911621,0.29188573,0.35073683,0.09113001,-0.08166268,0.21375024,0.03647516,-0.1762142,0.20342489,-0.15589763,-0.094715476,0.16178091,0.029829893,-0.055237748,0.06675973,0.18192579,0.22594276
cleveland,2017,0.5578978657722473,1.105609655380249,0.2526817321777344,1.916189193725586,0.40902704,0.20292605,0.08896574,-0.06716644,0.05617608,0.0719568,-0.15712713,0.45530173,-0.037659485,-0.104720876,0.2783119,-0.06735005,0.023752019,-0.3121641,-0.018977098,0.017058618
cleveland,2018,0.2926368713378906,0.5917897820472717,0.25340187549591064,1.1378285884857178,0.16503088,0.18364078,0.103123195,-0.106777124,0.00032637268,0.10207198,-0.08831053,0.15989906,-0.014827989,0.022691898,0.1249982,-0.0780771,-0.05639773,-0.1159381,0.04402187,0.06584969
cleveland,2019,0.6860896348953247,0.557956337928772,0.2576709985733032,1.5017169713974,0.15516354,-0.28536707,-0.19906835,0.18978375,0.006952785,-0.12603801,-0.037617844,0.47894496,0.034909777,-0.2679946,0.20913175,0.12441762,0.31901821,-0.36283183,-0.19745101,-0.23538
cleveland,2021,1.8644154071807861,1.12064528465271,4.4344916343688965,7.419551849365234,0.26672375,0.76806533,0.2632039,-0.16917822,0.6019883,-0.06641462,-0.3415654,-0.11288751,-0.45920545,-0.14357044,0.017050274,0.17412978,-0.15816554,0.66305137,0.5603913,0.639371
cleveland,2022,0.5903350710868835,0.6003931164741516,0.28826531767845154,1.4789934158325195,0.03920254,-0.3024841,-0.14180446,0.12605497,-0.109776504,-0.0798155,0.059091788,0.3564629,0.14554346,-0.14376442,0.11168953,0.07475995,0.23077835,-0.37233996,-0.21877237,-0.34440178
cleveland,2023,0.4543990194797516,1.5666612386703491,0.46900224685668945,2.490062713623047,0.036783546,-0.1456059,0.010654561,-0.01250454,-0.14881533,0.029926544,0.027804177,0.2703003,0.16171113,0.029233333,0.10381315,-0.017953195,0.069939315,-0.35330626,-0.23259972,-0.27137095
columbus,2013,7.27700138092041,5.2611260414123535,0.1662934422492981,12.704421043395996,-0.48886436,1.0166134,0.86193186,-0.771801,0.1838547,0.40765613,-0.01427708,-1.502015,-0.32694247,1.1900067,-0.47411197,-0.41627514,-1.0793022,1.538406,0.5619833,0.99964184
columbus,2014,0.327349990606308,0.6999874114990234,0.21769410371780396,1.245031476020813,0.1240207,0.1599623,0.13351274,-0.14126104,-0.09781894,0.14397341,-0.049140044,0.046454802,0.020535592,0.15194212,0.10714996,-0.14930741,-0.12046195,-0.13170993,0.013997667,0.029085465
columbus,2015,0.3386249840259552,0.769271194934845,0.16667155921459198,1.274567723274231,0.06488263,-0.08168846,0.0067420676,-0.0008565262,-0.13121085,0.06847058,-0.008249916,0.22216833,0.101045385,0.03572182,0.13102446,-0.051149316,0.0527497,-0.3365258,-0.133286,-0.1665693
columbus,2016,0.5952752828598022,0.3191724419593811,0.18133491277694702,1.0957826375961304,0.20443031,-0.12958924,0.007343307,0.010061502,-0.1416959,0.05906707,-0.013774979,0.42450532,0.13775037,-0.008511733,0.22551262,-0.06521992,0.09760997,-0.5061109,-0.25518227,-0.24143082
columbus,2017,0.5734407901763916,0.8479868173599243,0.2008790671825409,1.6223067045211792,0.21913208,-0.097139016,0.024380557,-0.026438467,-0.14215125,0.06139777,-0.018804086,0.40077984,0.14253949,0.006735284,0.21553716,-0.07451671,0.06660659,-0.47859672,-0.25184333,-0.2351406
columbus,2018,0.3747337758541107,0.9772270917892456,0.3938111662864685,1.7457720041275024,-0.23076214,-0.04239643,0.08058358,-0.05913665,-0.19730991,0.123099,0.06867113,-0.16801864,0.12044482,0.255178,-0.052493915,-0.10536059,-0.10827357,-0.0561821,-0.028333187,-0.09933813
columbus,2019,0.772520899772644,0.7714725732803345,0.2172098010778427,1.7612032890319824,0.018729327,-0.4195508,-0.23784992,0.2335493,-0.06498143,-0.1783477,0.052771326,0.3813908,0.10323207,-0.2586046,0.11145199,0.1616395,0.36213648,-0.36324385,-0.23972134,-0.3494575
columbus,2021,0.23812130093574524,1.3137444257736206,1.085079550743103,2.6369452476501465,-0.0013408619,-0.015351929,-0.0072176456,-0.00046998262,-0.08270639,-0.0008786619,-0.01838771,0.035609372,-0.024152778,0.049228247,0.062478498,-0.051441133,0.044992954,-0.08777401,0.041833106,-0.038672104
columbus,2022,0.6624791622161865,0.5668807029724121,0.3847247064113617,1.6140846014022827,0.020893954,-0.3287083,-0.10760577,0.12544648,-0.18612674,-0.051996566,0.09730181,0.34592643,0.2067371,-0.06575778,0.09864687,0.030366234,0.19219849,-0.41819608,-0.2617852,-0.4098391
columbus,2023,0.3593835234642029,1.3393349647521973,0.4630419611930847,2.1617605686187744,0.09864015,0.08687092,0.11659034,-0.15069923,-0.10095279,0.12552366,-0.024777599,0.11587048,0.099068806,0.1384335,0.081218794,-0.090847366,-0.10759657,-0.19165516,-0.12885535,-0.073987365
