metro,year,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
charlotte,2019,0.18289185,0.43233278,0.5267129,0.055245273,0.22307879,-0.83332855,-0.35145843,-0.60207087,0.054207485,-0.033412635,-0.46463168,0.27334923,-0.23900679,0.75362056,0.15806398,0.7938945,0.40714806,-0.1456235,-0.19929492,0.1756807,-0.104178615,-0.32210654,-0.08927075,0.19320765,0.5776656,-0.3636868,0.45845902,0.1083937,0.2014707,0.5139623,0.023736522,1.1294639
charlotte,2021,-0.9782516,0.33272964,1.1184334,-1.5173316,0.24958816,-0.7013235,1.1113342,-1.2598602,-0.8306584,1.599491,-2.3674192,1.4232702,-1.2857633,1.9051769,-1.0228566,-0.9144032,0.94063383,0.4073146,0.40010762,-0.014671627,0.26325196,0.8704148,0.029856049,2.1333578,0.57017744,-0.42603952,0.89375216,0.7603435,0.5915551,-0.14498222,1.2056535,1.4101471
charlotte,2022,0.16984096,1.1659094,1.119816,0.7970132,-1.2095543,-1.7698963,-0.17935295,0.2157656,-1.0745549,-0.8630234,0.44199747,-0.38036513,-0.8134143,0.663863,-0.82088464,1.5717587,1.787724,-0.0015641674,0.20847702,-1.0370002,-1.1913164,-1.3241987,0.2691768,0.91465825,0.3819024,0.8498878,-0.4124937,-1.1901824,-0.80092674,2.7235818,0.22176349,2.1313996
charlotte,2023,0.29674995,0.71986955,0.64257425,-0.0767156,0.02698084,-1.0760338,-0.19422916,-0.61186117,0.13093375,0.61070395,-0.52803326,0.5747127,-0.76645494,1.121191,-0.280536,0.69525063,0.32485425,0.37848264,0.20678818,0.14568481,-0.42010698,-0.23336485,-0.5526355,0.6702038,0.92435545,0.23548274,0.42927846,0.11619577,0.4524044,0.4388909,0.6167116,1.3513447
dallas,2013,0.21747047,1.382979,2.585312,-1.8772745,-0.596765,0.5156013,2.2219906,-0.1080058,-1.1827271,0.22440298,-0.6274844,1.8139284,-1.1917578,1.3065677,1.3896741,-0.53298223,0.55003244,-0.28533566,-2.063081,-1.0791667,2.554876,0.9724096,0.22412893,0.79845387,-1.4956924,-1.7458798,-0.25182703,2.0088918,1.7412316,0.19070843,0.46663845,1.1619297
dallas,2014,0.77992177,1.4775816,1.6499631,-0.41738528,-2.1390245,-0.6814236,1.1714097,0.75285226,-0.33080944,-0.27098888,0.48366684,0.50211465,-0.6078459,0.4991515,0.08288817,-0.3042193,0.8591764,0.68613136,-0.5634131,-1.3823092,0.8158438,-0.007729292,0.7820147,0.66036063,-0.26720953,0.2957266,-0.47176355,0.7788016,1.203179,1.1828357,0.7150961,0.51441586
dallas,2015,0.7740716,1.6448059,1.4418201,-0.2202764,-1.8092647,-0.9989522,0.72533065,0.83382136,0.21310487,0.40101194,0.5309916,0.3904011,-0.8220112,0.7008234,0.2193934,-0.22187886,0.3395823,0.89312595,-0.2817514,-1.244255,0.94065714,-0.015989356,0.71151036,0.5858113,0.40803897,0.49550736,-0.24291652,1.2440089,1.4606558,1.0991986,0.71149224,0.35883477
dallas,2016,1.0031254,1.769268,1.7738891,-0.0010667276,-1.9159651,-0.99722695,0.62291163,1.1091193,0.00090442225,-0.3307292,1.112454,0.40370765,-0.5758948,0.82121843,0.7539307,0.624015,0.31169534,0.49114314,-0.7825575,-1.3942125,1.2072073,-0.5225967,0.829297,0.03262969,-0.13976134,-0.046746716,-0.4421456,1.0237764,1.2211018,1.4846625,0.33283103,0.80348265
dallas,2017,0.9944064,1.8502293,1.6286237,0.0029862616,-1.9489973,-1.1279702,0.54983014,1.1964015,0.29721883,0.0056321016,1.0553286,0.35060006,-0.7269726,0.8723745,0.4912693,0.35679775,0.18851334,0.72034293,-0.53335303,-1.3928311,1.1168329,-0.3471251,0.8622374,0.2165012,0.25850534,0.29027277,-0.36135775,1.2270267,1.479573,1.4358921,0.5210253,0.6535783
dallas,2018,0.9583552,1.9082286,1.6431748,-0.07182651,-1.9926081,-1.2510916,0.63040954,1.1044792,0.44579166,0.46609744,0.89152575,0.40530333,-0.9015414,0.9683599,0.42101097,0.05739492,0.1306324,0.9049466,-0.38531423,-1.402417,1.1256542,-0.18337542,0.7757075,0.44126987,0.543995,0.55113083,-0.3373509,1.4801176,1.6451708,1.3099821,0.73731405,0.53174365
