metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
charlotte,2022,0.08093476295471191,0.5481457710266113,1.7524381875991821,2.381518602371216,0.01896673,-0.05305068,0.038025983,-0.014901906,-0.2245481,0.009736024,-0.16032135,0.06307611,0.045632046,-0.0283668,0.09263359,-0.004072614,0.083547235,-0.062318042,0.060864992,0.08554027
charlotte,2023,0.09078595042228699,0.3454511761665344,0.767650842666626,1.203887939453125,0.052197635,-0.04999505,0.025550663,-0.009150937,-0.22131707,-0.023089528,-0.19707432,0.09038909,0.011082762,-0.06500589,0.07683115,-0.023989713,0.08717663,-0.048982512,0.085990615,0.08614543
dallas,2013,0.11467552185058594,4.061789035797119,1.6736059188842773,5.850070476531982,0.061001044,-0.011509391,0.01233881,0.015885852,-0.26009467,-0.033711337,-0.20191765,0.07962453,0.03708598,-0.0515006,0.09704254,0.06561859,0.021521997,0.026693411,0.1701959,0.15317617
dallas,2014,0.10035178065299988,1.2143546342849731,0.9324461221694946,2.24715256690979,-0.0013953187,-0.016770748,0.05701088,-0.0059950575,-0.24620956,-0.055907138,-0.22118895,0.049797192,-0.04076206,-0.02694243,0.09151249,0.013994338,0.109985106,-0.033348907,0.13693951,0.06511296
dallas,2015,0.10155963897705078,1.5400946140289307,1.173127293586731,2.814781665802002,0.0028208834,-0.01589629,0.036254875,0.0027378127,-0.24738683,-0.044713885,-0.2318718,0.043852396,-0.047432385,-0.026992206,0.08750455,0.0035533528,0.09777553,-0.025253762,0.12667432,0.07182951
dallas,2016,0.09027016162872314,0.8199113607406616,1.295137882232666,2.205319404602051,0.012929333,-0.018771894,0.022069208,0.012833908,-0.22713119,-0.022283673,-0.19652212,0.057178255,-0.026293151,-0.039697282,0.10642466,0.005364257,0.093360834,-0.040450975,0.12156963,0.054450355
dallas,2017,0.10301464796066284,1.5619549751281738,1.4156548976898193,3.080624580383301,0.0044953786,-0.013015744,0.040062867,0.005257614,-0.2498787,-0.052461244,-0.22747457,0.040450312,-0.047710232,-0.030078528,0.093956396,0.0114114545,0.10615759,-0.014576778,0.13386285,0.06365462
dallas,2018,0.10686278343200684,0.7091382145881653,1.6052770614624023,2.4212779998779297,0.009654137,0.0024507549,0.03558203,0.008939788,-0.2406179,-0.054526955,-0.2333301,0.05975545,-0.034790404,-0.03798093,0.08943505,0.008766541,0.111971125,0.0008517131,0.14788833,0.05463738
dallas,2019,0.11640837788581848,7.083406448364258,1.8148467540740967,9.01466178894043,0.0027614837,-0.012529192,0.057654224,0.027340293,-0.2607649,-0.061808787,-0.253949,0.0051180497,-0.03932656,-0.03199261,0.091390714,0.010898046,0.08236269,0.00799273,0.15580429,0.092449024
dallas,2021,0.14359816908836365,5.860213756561279,2.791537284851074,8.79534912109375,-0.025691058,-0.015300481,0.10086817,-0.008658767,-0.28426582,-0.10290433,-0.2947838,0.031774156,-0.053680874,-0.00985194,0.06869359,0.01354903,0.13142233,-0.009592541,0.14831148,0.10438137
dallas,2022,0.11557543277740479,1.5579509735107422,3.713946580886841,5.387472629547119,-0.025547951,-0.028242536,0.059524737,-2.618134e-05,-0.26594386,-0.06794477,-0.252334,0.03931447,-0.05280658,-0.0066314973,0.10036141,0.014079864,0.11435587,-0.01740358,0.12826875,0.088103436
dallas,2023,0.11354005336761475,0.6166719198226929,2.77923583984375,3.5094480514526367,-0.0064330464,-0.0045650247,0.045877345,0.019260757,-0.25922725,-0.06877915,-0.23418085,0.05137065,-0.034524057,-0.032439996,0.09426589,0.017743213,0.1233692,0.006975889,0.15792176,0.06270934
denver,2013,0.09311097860336304,7.291057109832764,1.2394182682037354,8.623586654663086,0.06316252,-0.019584166,0.003942907,0.022440113,-0.23514557,0.020465937,-0.16172393,0.07303801,0.08667535,-0.035640433,0.109421626,0.08221755,-0.020283423,0.03050904,0.14213179,0.14090112
denver,2014,0.08680233359336853,0.9753301739692688,0.21342487633228302,1.2755573987960815,0.03672851,-0.016644156,0.02228529,-0.006018333,-0.20907968,-0.014460444,-0.18829726,0.11099012,0.0057128947,-0.053113386,0.08853693,0.0147594465,0.05768951,-0.060232203,0.13816094,0.08060689
