metro,year,z_img_0,z_img_1,z_img_2,z_img_3,z_img_4,z_img_5,z_img_6,z_img_7,z_img_8,z_img_9,z_img_10,z_img_11,z_img_12,z_img_13,z_img_14,z_img_15
miami,2018,-0.7003717422485352,-0.2678334712982178,0.16245314478874207,-0.0100068598985672,-0.48504674434661865,0.35212939977645874,0.28347647190093994,-0.7765331268310547,0.31800878047943115,0.671819806098938,-0.35554051399230957,-0.27696606516838074,-0.32729658484458923,0.08739423006772995,-0.13677267730236053,-0.2998207211494446
miami,2019,-1.9179866313934326,-0.7507915496826172,-0.14915770292282104,0.3373686969280243,-0.4063698649406433,0.1856931447982788,0.5725852847099304,-1.9199192523956299,0.3997451066970825,0.6861437559127808,-1.1524139642715454,0.08226952701807022,-0.1662706881761551,0.947048544883728,0.07932037115097046,-0.24739046394824982
miami,2020,-1.2301409244537354,-0.46185964345932007,0.09446946531534195,0.0828997790813446,-0.5244033336639404,0.3622678220272064,0.438333660364151,-1.3500219583511353,0.37537190318107605,0.8107196688652039,-0.717937171459198,-0.23600967228412628,-0.3386233150959015,0.4520098567008972,-0.04521559178829193,-0.2692418098449707
miami,2021,-0.6813804507255554,-0.26744091510772705,0.2093874216079712,-0.05107402056455612,-0.5013286471366882,0.35051074624061584,0.2768375873565674,-0.8071668744087219,0.3072168231010437,0.7071269750595093,-0.36349064111709595,-0.2988065779209137,-0.33300212025642395,0.0583571121096611,-0.1611759215593338,-0.2960771918296814
miami,2022,-1.1629133224487305,-0.43975090980529785,0.05182059854269028,0.10415372252464294,-0.46814554929733276,0.33038079738616943,0.4132882058620453,-1.2511284351348877,0.34769466519355774,0.716789960861206,-0.6805131435394287,-0.18931464850902557,-0.3141739070415497,0.41629552841186523,-0.034960150718688965,-0.2608683705329895
miami,2023,-0.981834352016449,-0.40085694193840027,0.08896080404520035,0.061532169580459595,-0.5099334716796875,0.33207985758781433,0.38425785303115845,-1.0322672128677368,0.36394235491752625,0.6960991621017456,-0.5439032912254333,-0.21829243004322052,-0.2962377965450287,0.23913249373435974,-0.11240006983280182,-0.30718234181404114
minneapolis,2013,-1.8018767833709717,-0.6786110401153564,-0.05002496391534805,0.2500849962234497,-0.5136324167251587,0.3304014503955841,0.583927571773529,-1.879641056060791,0.46500998735427856,0.8770681619644165,-1.0835260152816772,-0.07168710976839066,-0.3302844762802124,0.8197660446166992,0.009201973676681519,-0.2800341844558716
minneapolis,2014,-1.5175668001174927,-0.5415986776351929,0.048322223126888275,0.16355866193771362,-0.5075932741165161,0.3893231749534607,0.5306462049484253,-1.6525838375091553,0.38122716546058655,0.8627415299415588,-0.9445284008979797,-0.2111593335866928,-0.3712456226348877,0.7030724883079529,0.04107005149126053,-0.21736568212509155
minneapolis,2015,-1.568007469177246,-0.48995140194892883,0.2590872645378113,0.022177450358867645,-0.5990190505981445,0.5024688839912415,0.5251943469047546,-1.93178391456604,0.3999371826648712,1.1653265953063965,-1.0224770307540894,-0.3768075704574585,-0.568973183631897,0.7184070348739624,0.00923188030719757,-0.1972157061100006
minneapolis,2016,-1.501855492591858,-0.47984158992767334,0.25396016240119934,0.024408333003520966,-0.606818437576294,0.5071554183959961,0.5279741883277893,-1.8397841453552246,0.3933130204677582,1.1228094100952148,-0.9911698698997498,-0.38207483291625977,-0.5507775545120239,0.6638468503952026,-0.0018026530742645264,-0.20983019471168518
