metro,year,selected_date,selected_quality_flag,baseline_08_01_date,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,status,requested_tiles,fetched_tiles,missing_tiles,width,height,actual_core_diffuse_cloud_pct,actual_diffuse_cloud_pct,actual_core_dark_or_empty_pct,actual_dark_or_empty_pct,actual_core_mean_brightness,actual_mean_brightness,output_path,refreshed_at_utc
denver,2021,2021-10-15,clean,2021-08-01,3.79,6.59,1.28,2.66,0.00,0.00,written,1,1,0,512,512,1.28,2.66,0.00,0.00,0.1768,0.1988,data/imagery/denver/modis_rgb/2021.tif,2026-05-06T04:34:24.196207+00:00
denver,2022,2022-10-01,clean,2022-08-01,13.48,10.27,1.17,1.71,0.04,0.03,written,1,1,0,512,512,1.17,1.71,0.04,0.03,0.1865,0.2586,data/imagery/denver/modis_rgb/2022.tif,2026-05-06T04:34:25.059666+00:00
denver,2023,2023-09-15,clean,2023-08-01,0.22,1.22,0.16,0.62,0.03,0.01,written,1,1,0,512,512,0.16,0.62,0.03,0.01,0.1056,0.1628,data/imagery/denver/modis_rgb/2023.tif,2026-05-06T04:34:25.685903+00:00
houston,2013,2013-08-01,clean,2013-08-01,0.00,1.87,0.00,1.87,0.00,0.00,written,1,1,0,512,512,0.00,1.87,0.00,0.00,0.2297,0.2543,data/imagery/houston/modis_rgb/2013.tif,2026-05-06T04:34:26.162212+00:00
houston,2014,2014-09-15,clean,2014-08-01,0.45,0.91,0.00,0.15,0.00,0.00,written,1,1,0,512,512,0.00,0.15,0.00,0.00,0.1994,0.2233,data/imagery/houston/modis_rgb/2014.tif,2026-05-06T04:34:26.717356+00:00
houston,2015,2015-08-01,clean,2015-08-01,0.00,0.04,0.00,0.04,0.00,0.00,written,1,1,0,512,512,0.00,0.04,0.00,0.00,0.1874,0.1946,data/imagery/houston/modis_rgb/2015.tif,2026-05-06T04:34:27.672866+00:00
houston,2016,2016-10-15,clean,2016-08-01,0.42,0.22,0.00,0.05,0.00,0.00,written,1,1,0,512,512,0.00,0.05,0.00,0.00,0.2235,0.2356,data/imagery/houston/modis_rgb/2016.tif,2026-05-06T04:34:28.090730+00:00
houston,2017,2017-10-01,clean,2017-08-01,0.00,0.15,0.00,0.00,0.00,0.00,written,1,1,0,512,512,0.00,0.00,0.00,0.00,0.3530,0.3535,data/imagery/houston/modis_rgb/2017.tif,2026-05-06T04:34:28.535186+00:00
houston,2018,2018-07-01,clean,2018-08-01,2.40,3.13,0.00,0.02,0.00,0.00,written,1,1,0,512,512,0.00,0.02,0.00,0.00,0.1511,0.1644,data/imagery/houston/modis_rgb/2018.tif,2026-05-06T04:34:29.023150+00:00
houston,2019,2019-09-01,clean,2019-08-01,0.00,2.41,0.00,1.19,0.00,0.00,written,1,1,0,512,512,0.00,1.19,0.00,0.00,0.2353,0.2625,data/imagery/houston/modis_rgb/2019.tif,2026-05-06T04:34:29.466992+00:00
