metro,year,selected_date,selected_quality_flag,selected_missing_tiles,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_strict_white_cloud_pct,selected_strict_white_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,baseline_08_01_date,baseline_08_01_missing_tiles,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,baseline_08_01_dark_or_empty_pct,improvement_vs_08_01
cleveland,2018,2018-04-15,clean,0,0.01,0.10,0.00,0.00,0.00,0.00,2018-08-01,0,15.35,13.71,32.69,13.61
cleveland,2019,2019-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2019-08-01,0,62.10,43.51,0.00,43.51
cleveland,2020,2020-04-15,clean,0,0.00,0.98,0.00,0.00,0.00,0.00,2020-08-01,0,4.85,5.92,7.29,4.94
cleveland,2021,2021-04-15,clean,0,0.00,0.01,0.00,0.00,0.00,4.90,2021-08-01,0,53.20,51.64,0.00,51.63
cleveland,2022,2022-06-01,clean,0,0.02,0.29,0.00,0.00,0.00,0.00,2022-08-01,0,89.96,49.81,21.84,49.52
cleveland,2023,2023-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,17.11,12.99,0.27,12.99
columbus,2013,2013-04-01,clean,0,0.00,0.04,0.00,0.00,0.00,0.00,2013-08-01,0,2.43,8.16,65.34,8.12
columbus,2014,2014-04-15,clean,0,0.11,0.28,0.00,0.00,0.00,0.00,2014-08-01,0,28.89,32.25,0.00,31.97
columbus,2015,2015-06-01,clean,0,4.34,1.89,0.00,0.00,0.00,0.00,2015-08-01,0,98.05,84.93,0.00,83.04
columbus,2016,2016-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2016-08-01,0,23.96,27.48,0.00,27.48
columbus,2017,2017-04-01,clean,0,0.00,0.01,0.00,0.00,0.00,0.00,2017-08-01,0,1.51,5.18,0.00,5.17
columbus,2018,2018-05-01,clean,0,0.00,0.22,0.00,0.00,0.00,0.00,2018-08-01,0,10.97,8.71,24.77,8.49
columbus,2019,2019-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2019-08-01,0,57.22,48.73,0.00,48.73
columbus,2020,2020-04-01,clean,0,0.05,0.03,0.00,0.00,0.00,0.00,2020-08-01,0,7.12,9.01,0.00,8.98
columbus,2021,2021-06-01,clean,0,0.92,1.28,0.00,0.00,0.00,0.00,2021-08-01,0,24.36,23.39,0.00,22.11
columbus,2022,2022-05-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2022-08-01,0,48.02,36.53,43.67,36.53
columbus,2023,2023-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,9.38,10.20,0.54,10.20
dallas,2013,2013-04-01,clean,0,1.26,3.86,0.00,0.00,0.00,4.42,2013-08-01,0,3.31,6.80,0.00,2.94
dallas,2014,2014-10-01,clean,0,2.69,2.90,0.00,0.01,0.00,0.00,2014-08-01,0,0.05,1.05,34.67,-1.85
dallas,2015,2015-07-15,clean,0,0.25,0.69,0.00,0.01,0.00,1.38,2015-08-01,0,1.45,1.92,0.00,1.23
dallas,2016,2016-10-15,clean,0,0.61,2.40,0.00,0.02,0.00,0.00,2016-08-01,0,1.73,2.03,0.00,-0.37
dallas,2017,2017-08-01,clean,0,1.07,1.30,0.03,0.03,0.00,0.00,2017-08-01,0,1.07,1.30,0.00,0.00
dallas,2018,2018-07-01,clean,0,0.05,2.26,0.00,0.31,0.00,0.00,2018-08-01,0,28.37,25.34,30.03,23.08
dallas,2019,2019-09-01,clean,0,2.74,6.92,0.00,0.02,0.00,0.00,2019-08-01,0,8.05,7.67,0.00,0.75
dallas,2020,2020-07-15,clean,0,0.67,1.48,0.00,0.00,0.00,0.00,2020-08-01,0,0.65,0.29,33.33,-1.19
dallas,2021,2021-07-15,clean,0,4.29,9.27,0.00,0.05,0.00,4.50,2021-08-01,0,23.95,19.83,0.00,10.56
dallas,2022,2022-06-15,clean,0,0.99,1.31,0.00,0.00,0.00,0.00,2022-08-01,0,41.21,34.92,0.00,33.61
dallas,2023,2023-10-15,clean,0,2.28,4.40,0.00,0.00,0.00,0.00,2023-08-01,0,32.19,19.94,0.00,15.54
denver,2013,2013-04-01,clean,0,1.75,5.66,0.00,0.08,0.00,0.00,2013-08-01,0,3.74,6.68,0.00,1.02
denver,2014,2014-07-01,clean,0,0.89,1.63,0.00,0.01,0.00,0.00,2014-08-01,0,58.42,42.89,0.00,41.26
denver,2015,2015-04-01,clean,0,0.97,2.95,0.01,0.04,0.00,0.00,2015-08-01,0,1.94,5.07,47.50,2.12
denver,2016,2016-09-15,clean,0,0.64,4.44,0.01,0.22,0.00,0.00,2016-08-01,0,2.99,8.07,50.98,3.63
denver,2017,2017-09-15,clean,0,1.78,4.01,0.08,0.08,0.27,0.16,2017-08-01,0,5.78,9.08,0.00,5.07
denver,2018,2018-08-15,clean,0,0.36,3.72,0.00,0.06,0.00,0.00,2018-08-01,0,74.09,50.12,0.00,46.40
denver,2019,2019-10-01,clean,0,0.85,1.40,0.00,0.00,0.00,0.00,2019-08-01,0,4.86,4.55,20.17,3.15
denver,2020,2020-07-15,clean,0,0.79,1.04,0.00,0.00,0.00,0.00,2020-08-01,0,13.36,12.14,0.00,11.10
denver,2021,2021-10-15,clean,0,1.28,2.66,0.00,0.03,0.00,0.00,2021-08-01,0,3.79,6.59,41.86,3.93
denver,2022,2022-10-01,clean,0,1.17,1.71,0.00,0.00,0.04,0.03,2022-08-01,0,13.48,10.27,0.00,8.56
denver,2023,2023-09-15,clean,0,0.16,0.62,0.00,0.00,0.03,0.01,2023-08-01,0,0.22,1.22,0.00,0.60
detroit,2013,2013-04-15,clean,0,0.02,0.65,0.00,0.00,0.00,0.00,2013-08-01,0,1.42,7.02,55.59,6.37
detroit,2014,2014-05-15,clean,0,0.45,2.75,0.00,0.00,0.00,0.00,2014-08-01,0,10.86,7.44,0.00,4.69
detroit,2015,2015-06-01,clean,0,0.05,0.23,0.00,0.00,0.00,0.00,2015-08-01,0,13.14,21.27,0.00,21.04
detroit,2016,2016-05-01,clean,0,0.01,0.01,0.00,0.00,0.00,0.00,2016-08-01,0,7.26,7.16,0.00,7.15
detroit,2017,2017-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,0,10.83,16.31,0.00,16.31
detroit,2018,2018-04-01,clean,0,0.00,0.11,0.00,0.00,0.00,0.00,2018-08-01,0,1.60,1.57,2.41,1.46
detroit,2019,2019-04-15,clean,0,0.24,0.47,0.00,0.00,0.00,0.00,2019-08-01,0,3.63,7.11,0.00,6.64
detroit,2020,2020-05-01,clean,0,0.00,0.04,0.00,0.00,0.00,0.00,2020-08-01,0,13.70,12.99,0.00,12.95
detroit,2021,2021-05-15,clean,0,0.27,1.59,0.00,0.00,0.00,0.00,2021-08-01,0,40.66,51.27,0.00,49.68
detroit,2022,2022-05-01,clean,0,0.01,0.00,0.00,0.00,0.00,0.00,2022-08-01,0,16.50,21.90,54.83,21.90
detroit,2023,2023-05-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,43.92,27.83,13.06,27.83
houston,2013,2013-08-01,clean,0,0.00,1.87,0.00,0.04,0.00,0.00,2013-08-01,0,0.00,1.87,0.00,0.00
houston,2014,2014-09-15,clean,0,0.00,0.15,0.00,0.00,0.00,0.00,2014-08-01,0,0.45,0.91,15.33,0.76
houston,2015,2015-08-01,clean,0,0.00,0.04,0.00,0.00,0.00,0.00,2015-08-01,0,0.00,0.04,0.00,0.00
houston,2016,2016-10-15,clean,0,0.00,0.05,0.00,0.00,0.00,0.00,2016-08-01,0,0.42,0.22,54.23,0.17
houston,2017,2017-10-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,0,0.00,0.15,0.00,0.15
houston,2018,2018-07-01,clean,0,0.00,0.02,0.00,0.00,0.00,0.00,2018-08-01,0,2.40,3.13,0.00,3.11
houston,2019,2019-09-01,clean,0,0.00,1.19,0.00,0.01,0.00,0.00,2019-08-01,0,0.00,2.41,69.90,1.22
houston,2020,2020-10-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2020-08-01,0,22.13,26.02,16.65,26.02
houston,2021,2021-06-15,clean,0,0.53,5.41,0.00,0.03,0.01,0.00,2021-08-01,0,38.43,30.39,0.00,24.98
houston,2022,2022-05-01,clean,0,0.00,1.96,0.00,0.05,0.00,0.00,2022-08-01,0,0.52,1.83,0.00,-0.13
houston,2023,2023-09-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,0.00,1.63,0.00,1.63
indianapolis,2013,2013-05-15,clean,0,0.18,2.28,0.00,0.00,0.00,0.00,2013-08-01,0,12.41,14.93,0.04,12.65
indianapolis,2014,2014-10-15,clean,0,0.28,1.30,0.00,0.02,0.00,0.00,2014-08-01,0,17.79,13.67,0.00,12.37
indianapolis,2015,2015-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.10,2015-08-01,0,69.59,52.34,0.00,52.34
indianapolis,2016,2016-08-01,clean,0,4.19,3.95,0.05,0.09,0.00,0.00,2016-08-01,0,4.19,3.95,0.00,0.00
indianapolis,2017,2017-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,0,5.22,8.51,64.87,8.51
indianapolis,2018,2018-04-01,clean,0,0.55,1.53,0.00,0.00,0.00,0.00,2018-08-01,0,5.37,6.41,0.00,4.88
indianapolis,2019,2019-10-15,clean,0,1.22,2.69,0.00,0.02,0.00,0.00,2019-08-01,0,2.80,9.04,0.00,6.35
indianapolis,2020,2020-04-01,clean,0,0.10,2.28,0.00,0.00,0.00,4.52,2020-08-01,0,38.37,28.63,0.00,26.35
indianapolis,2021,2021-04-01,clean,0,1.84,5.39,0.00,0.00,0.00,0.00,2021-08-01,0,40.65,45.04,0.00,39.65
indianapolis,2022,2022-05-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2022-08-01,0,54.10,35.14,22.01,35.14
indianapolis,2023,2023-05-01,clean,0,0.26,0.29,0.00,0.00,0.00,0.00,2023-08-01,0,0.96,10.19,69.35,9.90
jacksonville,2013,2013-08-01,clean,0,2.37,4.99,0.12,0.23,0.00,0.15,2013-08-01,0,2.37,4.99,0.15,0.00
jacksonville,2014,2014-06-01,clean,0,1.90,3.58,0.08,0.12,0.00,0.02,2014-08-01,0,0.59,6.30,34.76,2.72
jacksonville,2015,2015-09-15,clean,0,1.56,2.01,0.03,0.10,0.00,0.00,2015-08-01,0,3.37,5.38,0.00,3.37
jacksonville,2016,2016-05-01,clean,0,1.07,2.69,0.02,0.05,0.00,0.00,2016-08-01,0,11.23,11.22,2.67,8.53
jacksonville,2017,2017-05-15,clean,0,2.55,3.83,0.13,0.16,0.00,0.00,2017-08-01,0,9.79,9.52,0.00,5.69
